"_id","numberOfTweets"
"shashib",43
"grattonboy",42
"grattongirl",41
"lilachbullock",24
"ginasmith888",19
"ChristianMcM",19
"davidbrier",12
"pmonserrat",12
"ProfessorTirado",12
"SaqibIslam",12
"ConallOM",11
"jangles",8
"shelholtz",8
"LouisSerge",8
"rwang0",7
"IdeaGov",7
"sandy_carter",7
"Startup_Canada",6
"chrisabraham",6
"vpfetter",6
"WarrenWhitlock",5
"dnewman",5
"SASsoftware",5
"Steve_Rosenbush",5
"ChadPollitt",4
"JenniferSertl",4
"VentureBeat",4
"craigss",4
"calamur",3
"Richardafowler",3
"2morrowknight",3
"adryenn",3
"lawscomm",3
"Quid",3
"PacktPub",3
"EvanSinar",3
"iyadabumoghli",3
"HumanityRoad",2
"RugyendoQuotes",2
"grssnbchr",2
"KevinScottHT",2
"DesignSparkRS",2
"shinisomara",2
"cindypinkceo",2
"PhilJ",2
"disgeneration",2
"franzrusso",2
"SmithInsight",2
"BerylLove",2
"elie",2
"Klaus_Mueller",2
"udacity",2
"PwC_Luxembourg",2
"wesnichols",2
"Citywire",2
"ncmart",2
"MrJohnFKennedy",2
"neiltwitz",1
"Enterprisenxt",1
"trendwatching",1
"THubHyd",1
"SpirosMargaris",1
"billloguidice",1
"tprstly",1
"oliviaptallet",1
"BrennerMichael",1
"TheRegister",1
"johnkoetsier",1
"dpontefract",1
"dataiku",1
"mdial",1
"lopezgovlaw",1
"Exp_Mark",1
"Designit",1
"IBMIoTSupport",1
"berryonline",1
"mikelisa800",1
"OloriSupergal",1
"CanCGDetroit",1
"MAHESHTELECOM",1
"djblack",1
"Caterina",1
"Sairee",1
"OliverPickup",1
"JPNicols",1
"transition57",1
"Jamesco",1
"MATLAB",1
"PamMktgNut",1
"Hyperec_HRS",1
"justinmassa",1
"IBMCCtr",1